,EVENT_ID,ORIGIN_TIME,STATION,NETWORK,ELON,ELAT,EDEP,PTIME,STIME,PSTIME,PST_ERR,PS_FREQ,SLON,SLAT,SEVL
2477,2_52497,2010-02-08T08:22:03.250000Z,NMKA,Z1,-177.4479,-20.2504,547.9159,71.75,,81.81912231445312,0.5529953837394714,4.334710597991943,-174.798004,-20.2596,22.0
2478,2_52497,2010-02-08T08:22:03.720001Z,VAVP,Z1,-177.4479,-20.2504,547.9159,79.28,143.27999877929688,88.36064147949219,,7.3661651611328125,-173.961395,-18.601999,65.0
2479,2_52497,2010-02-08T08:22:03.989998Z,PNGI,Z1,-177.4479,-20.2504,547.9159,74.01,136.06069946289062,83.52613067626953,,6.340151309967041,-174.350006,-19.8248,18.0
2480,2_52497,2010-02-08T08:22:03.980003Z,N01W,YL,-177.4479,-20.2504,547.9159,71.02,,82.37944030761719,0.6451612710952759,2.1984846591949463,-175.485504,-19.0243,-2325.0
2481,2_52497,2010-02-08T08:22:03.839996Z,FONI,Z1,-177.4479,-20.2504,547.9159,72.16,133.10470581054688,82.78211975097656,,2.1982314586639404,-174.630798,-20.2796,19.0
2482,2_52497,2010-02-08T08:22:03.309998Z,TNGA,Z1,-177.4479,-20.2504,547.9159,69.69,126.57000732421876,80.23429107666016,0.0885714292526245,7.5796990394592285,-175.325104,-21.063499,25.0
2483,2_52251,2010-01-31T08:48:31.680000Z,EUAP,Z1,-178.1231,-17.7758,622.2336,92.32,164.03936767578125,101.27256774902344,0.4743083119392395,4.66604471206665,-174.912292,-21.442699,158.0
2484,2_52251,2010-01-31T08:48:31.849998Z,FONI,Z1,-178.1231,-17.7758,622.2336,86.15,155.30999755859375,101.45768737792967,1.057233214378357,6.397387981414795,-174.630798,-20.2796,19.0
2485,2_52510,2010-03-03T08:16:41.040001Z,F02W,YL,-178.4577,-21.1602,550.5922,77.96,143.08999633789062,87.35470581054688,0.8255029916763306,3.254547595977783,-174.438797,-21.349199,-2602.0
2486,2_52510,2010-03-03T08:16:41.000000Z,NMKA,Z1,-178.4577,-21.1602,550.5922,78.0,142.3699951171875,88.69793701171875,0.8181333541870117,5.0128912925720215,-174.798004,-20.2596,22.0
2487,2_52510,2010-03-03T08:16:40.580002Z,B14W,YL,-178.4577,-21.1602,550.5922,70.42,,78.94727325439453,1.35757577419281,1.833593726158142,-177.987701,-19.0427,-2219.0
2488,2_52696,2010-01-19T16:13:11.330002Z,EUAP,Z1,-178.0002,-18.1022,603.5834,88.67,,98.2191390991211,0.4863221943378448,3.2721822261810303,-174.912292,-21.442699,158.0
2489,2_52696,2010-01-19T16:13:11.220001Z,FONI,Z1,-178.0002,-18.1022,603.5834,84.78,153.52999877929688,93.5965576171875,0.8100912570953369,5.504245758056641,-174.630798,-20.2796,19.0
2490,2_52450,2010-04-10T23:13:22.639999Z,A02W,YL,-177.9111,-17.8863,687.5261,92.36,,102.73747253417967,0.9291521310806274,2.3201491832733154,-175.789993,-21.4895,-2015.0
2491,2_52450,2010-04-10T23:13:22.900002Z,EUAP,Z1,-177.9111,-17.8863,687.5261,95.1,,105.57038116455078,0.5574913024902344,4.157364368438721,-174.912292,-21.442699,158.0
2492,2_52450,2010-04-10T23:13:23.279999Z,B01W,YL,-177.9111,-17.8863,687.5261,88.72,,99.56204223632812,1.1149826049804688,2.722932815551758,-175.018005,-20.0483,-1723.0
2493,2_52450,2010-04-10T23:13:23.239998Z,VAVP,Z1,-177.9111,-17.8863,687.5261,90.76,158.6300048828125,101.8337860107422,0.5102787613868713,6.550905704498291,-173.961395,-18.601999,65.0
2494,2_52450,2010-04-10T23:13:22.970001Z,PNGI,Z1,-177.9111,-17.8863,687.5261,91.03,,98.06251525878906,1.1149826049804688,4.597674369812012,-174.350006,-19.8248,18.0
2495,2_52450,2010-04-10T23:13:22.739998Z,A14W,YL,-177.9111,-17.8863,687.5261,85.26,,90.99170684814452,1.5795586109161377,6.921804428100586,-178.155304,-20.6658,-884.0
2496,2_52278,2010-02-25T06:17:31.519997Z,FONI,Z1,-178.296,-20.8718,604.5462,81.48,145.8699951171875,89.53043365478516,0.5003359913825989,4.125,-174.630798,-20.2796,19.0
2497,2_52278,2010-02-25T06:17:31.190002Z,NMKA,Z1,-178.296,-20.8718,604.5462,80.81,144.50999450683594,91.8966064453125,0.7443675994873047,3.1916675567626958,-174.798004,-20.2596,22.0
2498,2_52325,2010-03-08T05:22:59.629997Z,FONI,Z1,-177.5579,-20.5814,577.478,75.37,130.1199951171875,83.5546646118164,0.1477272659540176,6.119101524353027,-174.630798,-20.2796,19.0
2499,2_52325,2010-03-08T05:23:00.089996Z,TNGA,Z1,-177.5579,-20.5814,577.478,72.91,124.51000213623048,87.47264862060547,0.6367588639259338,6.797445297241211,-175.325104,-21.063499,25.0
2500,2_52440,2010-02-28T09:22:44.800003Z,B07W,YL,-178.8697,-17.2715,504.0245,76.2,,82.86085510253906,0.7433217167854309,2.110526323318481,-175.979507,-19.7442,-2623.0
2501,2_52440,2010-02-28T09:22:44.400002Z,EUAP,Z1,-178.8697,-17.2715,504.0245,92.6,,104.74285888671876,0.7433217167854309,2.8253731727600098,-174.912292,-21.442699,158.0
